Dec 31, 2019 2:10:04 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/xsw/spark-work/kubernetes-client/platforms/karaf/itests/target/exam/a31a7682-c2c5-4499-bb84-d06af343a253/lock
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2019-12-31T14:10:06,409 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Adding features: shell/[4.2.2,4.2.2],bundle/[4.2.2,4.2.2],exam/[4.13.1,4.13.1],feature/[4.2.2,4.2.2],framework/[4.2.2,4.2.2],jaas/[4.2.2,4.2.2],ssh/[4.2.2,4.2.2],test-dependencies/[0,0.0.0],log/[4.2.2,4.2.2],config/[4.2.2,4.2.2]
2019-12-31T14:10:08,655 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |     Bundles to install:
2019-12-31T14:10:08,656 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:com.fasterxml.jackson.core/jackson-annotations/2.9.8
2019-12-31T14:10:08,656 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:com.fasterxml.jackson.core/jackson-core/2.9.8
2019-12-31T14:10:08,656 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:com.fasterxml.jackson.core/jackson-databind/2.9.8
2019-12-31T14:10:08,656 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.9.8
2019-12-31T14:10:08,656 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:io.fabric8/kubernetes-client/4.1.2/jar/bundle
2019-12-31T14:10:08,656 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:io.fabric8/kubernetes-model/4.1.2
2019-12-31T14:10:08,656 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:io.fabric8/zjsonpatch/0.3.0
2019-12-31T14:10:08,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:javax.validation/validation-api/1.1.0.Final
2019-12-31T14:10:08,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.automaton/1.11-8_1
2019-12-31T14:10:08,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.conscrypt-openjdk/1.4.2_1
2019-12-31T14:10:08,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.generex/1.0.1_1
2019-12-31T14:10:08,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.okhttp/3.12.0_1
2019-12-31T14:10:08,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.okio/1.15.0_1
2019-12-31T14:10:08,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:com.google.code.findbugs/jsr305/3.0.2
2019-12-31T14:10:08,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.yaml/snakeyaml/1.23
2019-12-31T14:10:08,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Stopping bundles:
2019-12-31T14:10:08,658 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.logging.pax-logging-log4j2/1.10.1
2019-12-31T14:10:08,659 | INFO  | features-3-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Unregistering commands for bundle org.apache.karaf.log.core/4.2.2
2019-12-31T14:10:09,041 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Changes to perform:
2019-12-31T14:10:09,044 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   Region: root
2019-12-31T14:10:09,044 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |     Bundles to install:
2019-12-31T14:10:09,045 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:io.fabric8/openshift-client/4.1.2/jar/bundle
2019-12-31T14:10:09,047 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Installing bundles:
2019-12-31T14:10:09,047 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:io.fabric8/openshift-client/4.1.2/jar/bundle
2019-12-31T14:10:09,060 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Starting bundles:
2019-12-31T14:10:09,060 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   io.fabric8.openshift-client/4.1.2
2019-12-31T14:10:09,062 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Done.
2019-12-31T14:10:09,081 | INFO  | FelixStartLevel  | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Unregistering commands for bundle org.apache.karaf.shell.ssh/4.2.2
2019-12-31T14:10:09,101 | INFO  | FelixStartLevel  | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Unregistering commands for bundle org.apache.karaf.features.command/4.2.2
2019-12-31T14:10:09,102 | INFO  | FelixStartLevel  | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Unregistering commands for bundle org.apache.karaf.bundle.core/4.2.2
2019-12-31T14:10:09,102 | INFO  | FelixStartLevel  | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Unregistering commands for bundle org.apache.karaf.log.core/4.2.2
2019-12-31T14:10:09,104 | INFO  | FelixStartLevel  | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Unregistering commands for bundle org.apache.karaf.jaas.command/4.2.2
2019-12-31T14:10:09,104 | INFO  | FelixStartLevel  | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Unregistering commands for bundle org.apache.karaf.config.core/4.2.2
2019-12-31T14:10:09,105 | INFO  | FelixStartLevel  | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Unregistering commands for bundle org.apache.karaf.shell.commands/4.2.2
